,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,PatientAge,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,ProtocolName,SeriesDate
15,CC-Radiomics-Phantom-3,CCR-3-CT87,CCR-3-CT87,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.284014532430370364103295416288,1999-12-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.149599148453909911465681004748,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,83,8.1 RT SIMULATION PELVIS,1999-12-25
16,CC-Radiomics-Phantom-3,CCR-3-CT87,CCR-3-CT87,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.284014532430370364103295416288,1999-12-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.131253213840214147675045968487,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,89,8.1 RT SIMULATION PELVIS,1999-12-25
17,CC-Radiomics-Phantom-3,CCR-3-CT87,CCR-3-CT87,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.284014532430370364103295416288,1999-12-25,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.315708046919644030744635091692,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,87,8.1 RT SIMULATION PELVIS,1999-12-25
18,CC-Radiomics-Phantom-3,CCR-3-CT7,CCR-3-CT7,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.188883664436807000812070878709,1999-10-16,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.361726331562682435652433695062,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
19,CC-Radiomics-Phantom-3,CCR-3-CT7,CCR-3-CT7,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.188883664436807000812070878709,1999-10-16,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.142385785644317383607833184845,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
20,CC-Radiomics-Phantom-3,CCR-3-CT7,CCR-3-CT7,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.188883664436807000812070878709,1999-10-16,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.826473506243584102066550405540,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
21,CC-Radiomics-Phantom-3,CCR-3-CT7,CCR-3-CT7,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.188883664436807000812070878709,1999-10-16,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.170988598473097695031240515977,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,44,8.1 RT SIMULATION PELVIS,1999-10-16
22,CC-Radiomics-Phantom-3,CCR-3-CT7,CCR-3-CT7,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.188883664436807000812070878709,1999-10-16,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.307509352696737583475363546471,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,89,8.1 RT SIMULATION PELVIS,1999-10-16
23,CC-Radiomics-Phantom-3,CCR-3-CT7,CCR-3-CT7,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.188883664436807000812070878709,1999-10-16,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.231027712557470857022940413141,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,45,8.1 RT SIMULATION PELVIS,1999-10-16
24,CC-Radiomics-Phantom-3,CCR-3-CT81,CCR-3-CT81,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.307356955178341009667141544004,2000-02-07,Radiomics Phantom,000Y,2,1.3.6.1.4.1.14519.5.2.1.1706.3977.382296571025566914719895612713,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
